"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"LUX","CPI","FOOD","IDX2015","A","2016",101.5308,
"LUX","CPI","FOOD","IDX2015","A","2017",104.39,
"LUX","CPI","FOOD","IDX2015","A","2018",106.6983,
"LUX","CPI","FOOD","IDX2015","A","2019",108.1942,
"LUX","CPI","FOOD","IDX2015","A","2020",111.1442,
"LUX","CPI","FOOD","IDX2015","A","2021",112.14,
"LUX","CPI","FOOD","IDX2015","A","2022",120.0075,
"MEX","CPI","FOOD","IDX2015","A","2005",57.57697,
"MEX","CPI","FOOD","IDX2015","A","2006",59.68272,
"MEX","CPI","FOOD","IDX2015","A","2007",63.63425,
"MEX","CPI","FOOD","IDX2015","A","2008",68.82034,
"MEX","CPI","FOOD","IDX2015","A","2009",74.88926,
"MEX","CPI","FOOD","IDX2015","A","2010",77.36537,
"MEX","CPI","FOOD","IDX2015","A","2011",80.73835,
"MEX","CPI","FOOD","IDX2015","A","2012",87.29628,
"MEX","CPI","FOOD","IDX2015","A","2013",91.81144,
"MEX","CPI","FOOD","IDX2015","A","2014",96.16387,
"MEX","CPI","FOOD","IDX2015","A","2015",100,
"MEX","CPI","FOOD","IDX2015","A","2016",104.4697,
"MEX","CPI","FOOD","IDX2015","A","2017",111.747,
"MEX","CPI","FOOD","IDX2015","A","2018",117.1061,
"MEX","CPI","FOOD","IDX2015","A","2019",122.245,
"MEX","CPI","FOOD","IDX2015","A","2020",130.3394,
"MEX","CPI","FOOD","IDX2015","A","2021",139.7644,
"MEX","CPI","FOOD","IDX2015","A","2022",158.2999,
"NLD","CPI","FOOD","IDX2015","A","2005",84.9725,
"NLD","CPI","FOOD","IDX2015","A","2006",86.36667,
"NLD","CPI","FOOD","IDX2015","A","2007",87.25833,
"NLD","CPI","FOOD","IDX2015","A","2008",92.17083,
"NLD","CPI","FOOD","IDX2015","A","2009",93.16666,
"NLD","CPI","FOOD","IDX2015","A","2010",93.0875,
"NLD","CPI","FOOD","IDX2015","A","2011",95.14917,
"NLD","CPI","FOOD","IDX2015","A","2012",97.07166,
"NLD","CPI","FOOD","IDX2015","A","2013",99.41583,
"NLD","CPI","FOOD","IDX2015","A","2014",99.35667,
"NLD","CPI","FOOD","IDX2015","A","2015",100.0008,
"NLD","CPI","FOOD","IDX2015","A","2016",100.9508,
"NLD","CPI","FOOD","IDX2015","A","2017",103.6408,
"NLD","CPI","FOOD","IDX2015","A","2018",104.4592,
"NLD","CPI","FOOD","IDX2015","A","2019",108.6892,
"NLD","CPI","FOOD","IDX2015","A","2020",110.7425,
"NLD","CPI","FOOD","IDX2015","A","2021",110.5133,
"NLD","CPI","FOOD","IDX2015","A","2022",122.3858,
"NZL","CPI","FOOD","IDX2015","A","2005",76.5038,
"NZL","CPI","FOOD","IDX2015","A","2006",78.78139,
"NZL","CPI","FOOD","IDX2015","A","2007",81.91551,
"NZL","CPI","FOOD","IDX2015","A","2008",88.82616,
"NZL","CPI","FOOD","IDX2015","A","2009",94.19895,
"NZL","CPI","FOOD","IDX2015","A","2010",95.09441,
"NZL","CPI","FOOD","IDX2015","A","2011",100.0389,
"NZL","CPI","FOOD","IDX2015","A","2012",99.31867,
"NZL","CPI","FOOD","IDX2015","A","2013",99.74693,
"NZL","CPI","FOOD","IDX2015","A","2014",100.0584,
"NZL","CPI","FOOD","IDX2015","A","2015",100,
"NZL","CPI","FOOD","IDX2015","A","2016",99.39654,
"NZL","CPI","FOOD","IDX2015","A","2017",101.5575,
"NZL","CPI","FOOD","IDX2015","A","2018",101.3135,
"NZL","CPI","FOOD","IDX2015","A","2019",102.4075,
"NZL","CPI","FOOD","IDX2015","A","2020",105.6642,
"NZL","CPI","FOOD","IDX2015","A","2021",107.5216,
"NZL","CPI","FOOD","IDX2015","A","2022",116.8336,
"NOR","CPI","FOOD","IDX2015","A","2005",81.425,
"NOR","CPI","FOOD","IDX2015","A","2006",82.55833,
"NOR","CPI","FOOD","IDX2015","A","2007",84.79166,
"NOR","CPI","FOOD","IDX2015","A","2008",88.35833,
"NOR","CPI","FOOD","IDX2015","A","2009",92.05,
"NOR","CPI","FOOD","IDX2015","A","2010",92.24167,
"NOR","CPI","FOOD","IDX2015","A","2011",92.15833,
"NOR","CPI","FOOD","IDX2015","A","2012",93.275,
"NOR","CPI","FOOD","IDX2015","A","2013",94.25833,
"NOR","CPI","FOOD","IDX2015","A","2014",97.175,
"NOR","CPI","FOOD","IDX2015","A","2015",99.98333,
"NOR","CPI","FOOD","IDX2015","A","2016",102.5583,
"NOR","CPI","FOOD","IDX2015","A","2017",102.5667,
"NOR","CPI","FOOD","IDX2015","A","2018",105.1583,
"NOR","CPI","FOOD","IDX2015","A","2019",106.275,
"NOR","CPI","FOOD","IDX2015","A","2020",109.7417,
"NOR","CPI","FOOD","IDX2015","A","2021",107.5167,
"NOR","CPI","FOOD","IDX2015","A","2022",114.5,
"POL","CPI","FOOD","IDX2015","A","2005",76.89708,
"POL","CPI","FOOD","IDX2015","A","2006",77.38295,
"POL","CPI","FOOD","IDX2015","A","2007",81.0138,
"POL","CPI","FOOD","IDX2015","A","2008",85.58623,
"POL","CPI","FOOD","IDX2015","A","2009",89.57178,
"POL","CPI","FOOD","IDX2015","A","2010",92.06113,
"POL","CPI","FOOD","IDX2015","A","2011",96.80769,
"POL","CPI","FOOD","IDX2015","A","2012",100.8319,
"POL","CPI","FOOD","IDX2015","A","2013",102.6828,
"POL","CPI","FOOD","IDX2015","A","2014",101.7026,
"POL","CPI","FOOD","IDX2015","A","2015",100,
"POL","CPI","FOOD","IDX2015","A","2016",100.9287,
"POL","CPI","FOOD","IDX2015","A","2017",105.2818,
"POL","CPI","FOOD","IDX2015","A","2018",108.0034,
"POL","CPI","FOOD","IDX2015","A","2019",113.1884,
"POL","CPI","FOOD","IDX2015","A","2020",118.38,
"POL","CPI","FOOD","IDX2015","A","2021",121.9915,
"POL","CPI","FOOD","IDX2015","A","2022",140.8294,
"PRT","CPI","FOOD","IDX2015","A","2005",88.88705,
"PRT","CPI","FOOD","IDX2015","A","2006",91.27867,
"PRT","CPI","FOOD","IDX2015","A","2007",93.51427,
"PRT","CPI","FOOD","IDX2015","A","2008",96.98907,
"PRT","CPI","FOOD","IDX2015","A","2009",93.65028,
"PRT","CPI","FOOD","IDX2015","A","2010",93.42199,
"PRT","CPI","FOOD","IDX2015","A","2011",95.38082,
"PRT","CPI","FOOD","IDX2015","A","2012",98.434,
"PRT","CPI","FOOD","IDX2015","A","2013",100.3426,
"PRT","CPI","FOOD","IDX2015","A","2014",98.99606,
"PRT","CPI","FOOD","IDX2015","A","2015",100,
"PRT","CPI","FOOD","IDX2015","A","2016",100.49,
"PRT","CPI","FOOD","IDX2015","A","2017",102.0292,
"PRT","CPI","FOOD","IDX2015","A","2018",102.7822,
"PRT","CPI","FOOD","IDX2015","A","2019",103.1059,
"PRT","CPI","FOOD","IDX2015","A","2020",105.2581,
"PRT","CPI","FOOD","IDX2015","A","2021",106.0325,
"PRT","CPI","FOOD","IDX2015","A","2022",119.8073,
"SVK","CPI","FOOD","IDX2015","A","2005",79.15242,
"SVK","CPI","FOOD","IDX2015","A","2006",80.27821,
"SVK","CPI","FOOD","IDX2015","A","2007",83.47872,
"SVK","CPI","FOOD","IDX2015","A","2008",89.87976,
"SVK","CPI","FOOD","IDX2015","A","2009",86.97395,
"SVK","CPI","FOOD","IDX2015","A","2010",88.37086,
"SVK","CPI","FOOD","IDX2015","A","2011",93.72274,
"SVK","CPI","FOOD","IDX2015","A","2012",97.65413,
"SVK","CPI","FOOD","IDX2015","A","2013",101.0963,
"SVK","CPI","FOOD","IDX2015","A","2014",100.2888,
"SVK","CPI","FOOD","IDX2015","A","2015",100,
"SVK","CPI","FOOD","IDX2015","A","2016",97.21796,
"SVK","CPI","FOOD","IDX2015","A","2017",101.0786,
"SVK","CPI","FOOD","IDX2015","A","2018",105.0159,
"SVK","CPI","FOOD","IDX2015","A","2019",109.2184,
"SVK","CPI","FOOD","IDX2015","A","2020",111.971,
"SVK","CPI","FOOD","IDX2015","A","2021",114.0163,
"SVK","CPI","FOOD","IDX2015","A","2022",135.2529,
"ESP","CPI","FOOD","IDX2015","A","2005",82.3905,
"ESP","CPI","FOOD","IDX2015","A","2006",85.77886,
"ESP","CPI","FOOD","IDX2015","A","2007",88.94588,
"ESP","CPI","FOOD","IDX2015","A","2008",94.17504,
"ESP","CPI","FOOD","IDX2015","A","2009",93.185,
"ESP","CPI","FOOD","IDX2015","A","2010",92.40613,
"ESP","CPI","FOOD","IDX2015","A","2011",94.3027,
"ESP","CPI","FOOD","IDX2015","A","2012",96.49717,
"ESP","CPI","FOOD","IDX2015","A","2013",99.18606,
"ESP","CPI","FOOD","IDX2015","A","2014",98.84017,
"ESP","CPI","FOOD","IDX2015","A","2015",100,
"ESP","CPI","FOOD","IDX2015","A","2016",101.4006,
"ESP","CPI","FOOD","IDX2015","A","2017",102.6476,
"ESP","CPI","FOOD","IDX2015","A","2018",104.3385,
"ESP","CPI","FOOD","IDX2015","A","2019",105.4176,
"ESP","CPI","FOOD","IDX2015","A","2020",107.9002,
"ESP","CPI","FOOD","IDX2015","A","2021",109.8926,
"ESP","CPI","FOOD","IDX2015","A","2022",122.6838,
"SWE","CPI","FOOD","IDX2015","A","2005",80.78291,
